,hotel_name,Class of Rating,Rating
686,Hilton Garden Inn Times Square Central,Very Good,8.4
687,Hyatt House New York/Chelsea,Excellent,8.8
688,Amazing 2Bed/2Bath in Prime East Village Manhattan,None,None
689,Best Location 27 St. Mid-town East,None,None
690,Furnished Quarters at 777 Sixth Avenue,None,None
691,Cozy Room in New York City,None,None
692,NYC Townhouse,None,None
693,Upper West Side Two-Bedroom,None,None
694,Beautiful Midtown East 1 Bedroom apartment,None,None
695,Times Square 2 Bedroom Apartment,None,None
696,"Club Quarters Hotel, Opposite Rockefeller Center",Very Good,8.1
697,Bogart Street,None,None
698,Cassa Hotel Times Square,Very Good,8.1
699,Hilton Garden Inn New York Manhattan Midtown East,Very Good,8.3
700,Midtown East Large Apartments,Review score,6.9
701,45th Street Condo #228765,None,None
702,West 17th Street Apartment 2,None,None
703,Lovely Two Bedroom Apt,Review score,6.9
704,#1Midtown Manhattan Loft Apartment,Good,7.5
705,Cozy 1Bed/1Bath Close to Central Park,None,None
706,Central Affordable Three Bedroom Apartment,Review score,6.8
707,Three Bedroom Apartment - Henry Street #41,Good,7.6
708,Hilton Garden Inn New York/Manhattan-Chelsea,Very Good,8.3
709,Sheraton New York Times Square Hotel,Good,7.6
710,Luxury One Bedroom Apartment - Garment District,Good,7.1
711,Greenwich Village Apartments,None,None
712,Places4stay Gramercy Park Comfort II,None,None
713,NOVO151,None,None
714,Fantastic 3 Bedrm Apt 135 St,Review score,6.8
715,East Village Properties,Good,7.8
716,Courtyard New York Manhattan/Times Square,Very Good,8.4
717,Union Square Best Location 2 Bedroom Apt,None,None
718,Places4stay Little Italy Comfort,None,None
719,Manhattan Studio in Hells Kitchen,Excellent,8.9
720,Fantastic 3 Bedrm Apt 135 St,Review score,6.8
721,East Village Properties,Good,7.8
722,Courtyard New York Manhattan/Times Square,Very Good,8.4
723,Union Square Best Location 2 Bedroom Apt,None,None
724,Places4stay Little Italy Comfort,None,None
725,Manhattan Studio in Hells Kitchen,Excellent,8.9
726,Comfort Inn Times Square West,Very Good,8.1
727,Tier31 by ABRIKIM,Very Good,8.0
728,Places4stay Midtown East Luxury Duplex,None,None
